station_id,station_name,utm_este,utm_norte,monitoring_date,monitoring_time,campaign,sampling_agency,source_file,source_page,do_mg_l,ph,water_temp_c,conductivity_us_cm,tss_mg_l,bod5_mg_l,cod_mg_l,phosphate_mg_l,total_phosphorus,ammonia_n,nitrate_mg_l,total_nitrogen,arsenic,lead,cadmium,fecal_coliforms,chlorophyll_a
BInte01,B. Interior de Puno,391402,8249013,2013-10-22,,Monitoreo Integral Lago Titicaca 2013 (Bahia Interior Puno),ANA-Binacional,IT 061-2014-ANA-VIG_EVALUACION INTEGRAL LAGO TITICACA OCTUBRE 2013.pdf,42 (CUADRO 12.1),7.87,9.81,19.3,1782,8.23,<2.00,<10.0,0.266,0.69,0.368,0.788,2.05,0.01,0.0102,<0.0004,<1.8,17
BInte02,B. Interior de Puno,392656,8249544,2013-10-21,,Monitoreo Integral Lago Titicaca 2013 (Bahia Interior Puno),ANA-Binacional,IT 061-2014-ANA-VIG_EVALUACION INTEGRAL LAGO TITICACA OCTUBRE 2013.pdf,42 (CUADRO 12.1),?,9.93,18.1,1796,14.15,<2.00,<10.0,1.127,0.62,0.16,0.139,<1.00,0.008,?,<0.0004,,23
BInte03,B. Interior de Puno,393018,8248669,2013-10-21,,Monitoreo Integral Lago Titicaca 2013 (Bahia Interior Puno),ANA-Binacional,IT 061-2014-ANA-VIG_EVALUACION INTEGRAL LAGO TITICACA OCTUBRE 2013.pdf,42 (CUADRO 12.1),10.65,9.81,18.6,1776,11.85,<2.00,<10.0,1.097,0.62,0.112,0.122,<1.00,0.009,0.0098,<0.0004,,16
BInte04,B. Interior de Puno,392040,8248425,2013-10-21,,Monitoreo Integral Lago Titicaca 2013 (Bahia Interior Puno),ANA-Binacional,IT 061-2014-ANA-VIG_EVALUACION INTEGRAL LAGO TITICACA OCTUBRE 2013.pdf,42 (CUADRO 12.1),9.08,9.87,19.15,1831,15.6,<2.00,<10.0,1.048,0.6,0.078,0.141,<1.00,0.008,0.0118,<0.0004,,
BInte05,B. Interior de Puno,392710,8247780,2013-10-21,,Monitoreo Integral Lago Titicaca 2013 (Bahia Interior Puno),ANA-Binacional,IT 061-2014-ANA-VIG_EVALUACION INTEGRAL LAGO TITICACA OCTUBRE 2013.pdf,42 (CUADRO 12.1),10.85,10.01,18.8,1829,15.75,<2.00,<10.0,1.018,0.605,0.085,0.132,<1.00,?,0.0101,<0.0004,,18
BInte06,B. Interior de Puno,394477,8249053,2013-10-21,,Monitoreo Integral Lago Titicaca 2013 (Bahia Interior Puno),ANA-Binacional,IT 061-2014-ANA-VIG_EVALUACION INTEGRAL LAGO TITICACA OCTUBRE 2013.pdf,42 (CUADRO 12.1),9.5,9.9,18.3,1811,15.6,7.37,19.5,0.934,0.54,0.113,0.054,?,0.008,<0.0004,<0.0004,<1.8,31
BInte07,B. Interior de Puno,394623,8248197,2013-10-21,,Monitoreo Integral Lago Titicaca 2013 (Bahia Interior Puno),ANA-Binacional,IT 061-2014-ANA-VIG_EVALUACION INTEGRAL LAGO TITICACA OCTUBRE 2013.pdf,42 (CUADRO 12.1),7.38,9.48,17.65,1718,8.95,4.98,18.5,0.781,0.45,0.188,0.067,1.7,0.008,<0.0004,<0.0004,<1.8,15
BInte08,B. Interior de Puno,394132,8247621,2013-10-21,,Monitoreo Integral Lago Titicaca 2013 (Bahia Interior Puno),ANA-Binacional,IT 061-2014-ANA-VIG_EVALUACION INTEGRAL LAGO TITICACA OCTUBRE 2013.pdf,42 (CUADRO 12.1),9.17,?,17.54,1781,17.15,5.87,16.1,1.315,0.81,0.559,0.147,2.95,0.009,0.0111,<0.0004,<1.8,24
BInte09,B. Interior de Puno,393377,8247327,2013-10-21,,Monitoreo Integral Lago Titicaca 2013 (Bahia Interior Puno),ANA-Binacional,IT 061-2014-ANA-VIG_EVALUACION INTEGRAL LAGO TITICACA OCTUBRE 2013.pdf,42 (CUADRO 12.1),9.86,9.88,19.7,1781,20,6.97,21.5,1.384,0.77,0.55,?,2.39,0.007,<0.0004,<0.0004,79,21
BInte10,"B. Interior de Puno, zona Achalani",394641,8246844,2013-10-21,,Monitoreo Integral Lago Titicaca 2013 (Bahia Interior Puno),ANA-Binacional,IT 061-2014-ANA-VIG_EVALUACION INTEGRAL LAGO TITICACA OCTUBRE 2013.pdf,42 (CUADRO 12.1),10.13,10.07,17.17,1818,19.5,7.66,35.5,1.102,0.73,0.138,0.116,<1.00,0.008,0.0139,<0.0004,<1.8,31
BInte11,"B. Interior de Puno, zona Achalani",395452,8247654,2013-10-21,,Monitoreo Integral Lago Titicaca 2013 (Bahia Interior Puno),ANA-Binacional,IT 061-2014-ANA-VIG_EVALUACION INTEGRAL LAGO TITICACA OCTUBRE 2013.pdf,42 (CUADRO 12.1),9.6,9.98,17.15,1760,15.5,9.85,33.5,1.241,0.72,0.157,0.118,?,0.007,0.0037,?,<1.8,34
